,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count,hashtag,Users
90,2022-09-28 21:40:41+00:00,https://twitter.com/ikoncept_pro/status/1575239096254898179,ikoncept_pro,Twitter for Android,"Lagos, Nigeria",Tech Inspired #TxESummit2022 #TxESummit #TxEsummitEnugu2022 #TxE @williamsuchemba #tech https://t.co/sM4HeBliRX,0,0,0,0,@,@ikoncept_pro
91,2022-09-28 21:39:20+00:00,https://twitter.com/Kenncharis/status/1575238754373341184,Kenncharis,Twitter for Android,,"#TxESummit2022 
#TxEsummitEnugu2022
#TxESummitEnugu https://t.co/mOZp7fRXXU",2,0,0,0,@,@Kenncharis
92,2022-09-28 21:38:22+00:00,https://twitter.com/LilianUdoye/status/1575238510977912833,LilianUdoye,Twitter for Android,"Jos, Nigeria","Thank God it was successful😊. The speakers dished out lots of value. Thanks to Williams Uchemba for this and to all the speakers of the summit, thank you too.
#TxESummit2022 
#TxEsummitEnugu2022 
#TechIsTheFuture https://t.co/QsVUgUxDUe",2,0,0,0,@,@LilianUdoye
93,2022-09-28 21:36:48+00:00,https://twitter.com/ikoncept_pro/status/1575238118776909824,ikoncept_pro,Twitter for Android,"Lagos, Nigeria","You might not have a godfather but if you have God as your father, u must excel. #TxESummit2022 #TxEsummitEnugu2022 #TxESummit Williams Uchemba",0,0,0,0,@,@ikoncept_pro
94,2022-09-28 21:34:43+00:00,https://twitter.com/KaluOnuoha9/status/1575237595206127616,KaluOnuoha9,Twitter for iPhone,Nigeria,Future Wait For me I’m coming in style  #TxESummit2022 #TxEsummitEnugu2022 https://t.co/4nFjP0cEaR,4,0,0,0,@,@KaluOnuoha9
95,2022-09-28 21:32:24+00:00,https://twitter.com/PromizeoE/status/1575237011241373696,PromizeoE,Instagram,Nigeria,"#txesummit2022 
Today's event was so great... thanks to the executive organisers of these summit ❤️❤️ https://t.co/tm85KXFDbQ",0,0,0,0,@,@PromizeoE
96,2022-09-28 21:27:53+00:00,https://twitter.com/OshigboIfunanya/status/1575235873872154626,OshigboIfunanya,Twitter for Android,,"When you go for an event, you either win gifts, acquire more knowledge and values, or connect with people that can change your life positively. Today at @enugutechsummit I left with two 
of this things I mentioned.😩  I'm so glad I went for this.
#TxESummit2022 
#Techinspired",0,0,0,0,@,@OshigboIfunanya
97,2022-09-28 21:24:26+00:00,https://twitter.com/PrettyNeache/status/1575235005881921536,PrettyNeache,Twitter for iPhone,,And the number of pple still outside was more than those inside. Turn up was 🔥🔥🔥#TxESummitEnugu #TxESummit2022 https://t.co/AU4D0xUDrt,0,0,0,0,@,@PrettyNeache
98,2022-09-28 21:24:03+00:00,https://twitter.com/PrettyNeache/status/1575234907852283905,PrettyNeache,Twitter for iPhone,,God bless @williamsuchemba for hosting such an amazing empowerment summit💖.God bless all the speakers for the great job #TxESummitEnugu #TxESummit2022 https://t.co/vJLGnqxAnd,2,0,0,1,@,@PrettyNeache
99,2022-09-28 21:11:53+00:00,https://twitter.com/PrettyNeache/status/1575231845918441472,PrettyNeache,Twitter for iPhone,,God bless @williamsuchemba for hosting such an amazing empowerment summit💖.God bless all the speakers for the great job #TxESummitEnugu #TxESummit2022 https://t.co/vEeZcbuh2S,1,0,0,1,@,@PrettyNeache
100,2022-09-28 21:03:54+00:00,https://twitter.com/justKeneCHUKWU/status/1575229837978918912,justKeneCHUKWU,Twitter for Android,"Enugu, Nigeria","From @PNMbah's speech today at the #TxEsummitEnugu, I can say that the man is quite intelligent and is blessed with great leadership potentials. I believe if elected, and if he'll be unreservedly committed to duty, Enugu will recover her dwindling glory under his administration. https://t.co/peFYU1GMma",0,0,0,0,@,@justKeneCHUKWU
101,2022-09-28 21:01:22+00:00,https://twitter.com/Kenncharis/status/1575229200780312576,Kenncharis,Twitter for Android,,"#TxESummitEnugu 
Tech Summit

Thank you 
#WilliamUchemba for the privilege 
@AronuUgochukwu you inspired me
@hackSultan for the insight, you disappeared before I got a to say hi 🥺
Collins Ndukwe
Okwy Eze
Napa Onwusah https://t.co/J8WUqTrodP",6,0,0,1,@,@Kenncharis
102,2022-09-28 20:58:03+00:00,https://twitter.com/asokingz/status/1575228365896032256,asokingz,Twitter Web App,"Lagos, Nigeria","Now that the mortals are asleep, let the immortals take the stand

💪💪

Was glad to see @hackSultan at the summit today. Man spoke with authority.

#TxEsummitEnugu2022 #TxESummit https://t.co/Nha2987QDD",2,0,0,0,@,@asokingz
103,2022-09-28 20:57:08+00:00,https://twitter.com/CUdeibom/status/1575228134202298369,CUdeibom,Twitter Web App,,"#TxESummitEnugu 
#TxESummit2022",0,0,0,0,@,@CUdeibom
